Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Middlesex County (Outside Lowell City) PUMA, Massachusetts",473,118043.3976,4934.975312,6.852829518
"Middlesex County (Far Northeast)--Lowell City PUMA, Massachusetts",472,66034.04928,1456.126326,21.35685672
"Middlesex County--Waltham City, Lexington, Burlington, Bedford & Lincoln Towns PUMA; Massachusetts",720,134962.5619,4772.632546,11.95041027
"Middlesex County (South)--Framingham Town, Marlborough City & Natick Town PUMA; Massachusetts",607,101087.5345,3380.15499,11.50157963
"Middlesex County--Watertown Town City, Arlington, Belmont & Winchester Towns PUMA; Massachusetts",660,152012.2563,5213.914197,12.48961944
"Middlesex County (East)--Cambridge City PUMA, Massachusetts",910,118875.6629,1643.259175,23.55887627
"Middlesex County (East)--Somerville & Everett Cities PUMA, Massachusetts",565,91823.31642,1727.002404,21.48938063
"Middlesex County (East)--Malden & Medford Cities PUMA, Massachusetts",460,94217.33186,2268.102749,17.5368243
"Essex County (Northwest)--Lawrence, Haverhill & Methuen Town Cities PUMA; Massachusetts",792,71186.25889,1914.021876,19.43953041
"Essex County (Central)--Amesbury Town City PUMA, Massachusetts",543,141452.6942,5459.405222,8.555082138
"Essex County (East)--Salem, Beverly, Gloucester & Newburyport Cities PUMA; Massachusetts",1077,99933.39437,3713.183334,13.84737417
"Essex County (South)--Lynn City, Swampscott & Nahant Towns PUMA; Massachusetts",434,75734.68139,2467.449176,18.4058276
"Middlesex (West Central) & Worcester (East) Counties PUMA, Massachusetts",552,159325.7517,7211.651357,7.25487957
"Middlesex (Far Southwest), Norfolk (Northwest) & Worcester (Far East) Counties PUMA; Massachusetts",493,144364.141,5812.701399,5.948268617
"Boston City--Allston, Brighton & Fenway PUMA; Massachusetts",924,75145.18386,690.6671639,32.10943209
"Boston City--Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End PUMA; Massachusetts",1017,116388.1751,2244.742899,21.07584858
"Boston City--Dorchester & South Boston PUMA, Massachusetts",555,89927.65835,1408.415843,17.91569053
"Boston City--Mattapan & Roxbury PUMA, Massachusetts",544,47153.11798,703.2053489,29.27986796
"Boston City--Hyde Park, Jamaica Plain, Roslindale & West Roxbury PUMA; Massachusetts",662,98594.10237,1717.98676,15.73529305
"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA; Massachusetts",424,73266.93147,2014.324999,21.76740146
"Middlesex (Southeast) & Norfolk (Northeast) Counties--Newton City & Brookline Town PUMA, Massachusetts",829,176359.3506,5560.942086,11.45444747
"Norfolk (Northeast) & Middlesex (Southeast) Counties (West of Boston City) PUMA, Massachusetts",593,237651.3404,9344.159334,4.209158138
"Norfolk County (Southwest)--Greater Franklin Town City PUMA, Massachusetts",600,139806.6754,5028.529382,6.529764782
"Norfolk County (Central)--Randolph, Norwood, Dedham, Canton & Holbrook Towns PUMA; Massachusetts",500,107779.8518,3565.75519,9.861677093
"Norfolk County (Northeast)--Quincy City & Milton Town PUMA, Massachusetts",544,94827.85962,2758.694051,16.09481985
"Plymouth & Norfolk Counties--Brockton City, Stoughton & Avon Towns PUMA; Massachusetts",506,76180.52232,2467.20172,13.88957292
"Plymouth & Bristol Counties (Outside Brockton City) PUMA, Massachusetts",581,104593.4996,3623.980713,7.838127505
"Plymouth County (Central) PUMA, Massachusetts",477,109665.1202,4644.371338,3.747332273
"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA; Massachusetts",578,114340.8278,4926.30156,6.383860992
"Strafford Region--Strafford, Rockingham (Northern) & Carroll (Southeastern) Counties PUMA; New Hampshire",739,73042.54687,3449.632237,10.12320871
"Seacoast Region--Rockingham County (Southern)--Portsmouth City PUMA, New Hampshire",817,94817.56285,4712.195565,6.440507299
